Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.041;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17Mu3@36;AgreeableAgent2018@37;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.036;56;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;Agent17Mu2@38;AgreeableAgent2018@39;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.8051118829238652;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.040;59;;60rounds;Yes;No;2;0.75506;0.80464;0.10394;0.12749;1.55970;Agent17Mu@40;AgreeableAgent2018@41;0.7550577364334331;0.8046416066167466;0.7550577364334331;0.8046416066167466;0.8207543703317902;0.7795374088061999;0.0;0.0;0.7550577364334331;0.8046416066167466;party1_utility.xml;party2_utility.xml
0.040;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17X@42;AgreeableAgent2018@43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.034;53;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;BoulwareNegotiationParty@44;Agent17XNoStop@45;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.036;55;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;AgreeableAgent2018@46;Agent17XNoStop@47;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.044;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17XNoStop@48;Agent17XNoStop@49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.247;60;;60rounds;Yes;No;2;0.75506;0.80464;0.10394;0.12749;1.55970;Agent17Submit@50;Agent17XNoStop@51;0.7550577364334331;0.8046416066167466;0.7550577364334331;0.8046416066167466;0.47476563947267536;0.7795374088061999;0.0;0.0;0.7550577364334331;0.8046416066167466;party1_utility.xml;party2_utility.xml
0.038;57;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;Agent17PS3@52;Agent17XNoStop@53;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.041;60;;60rounds;Yes;No;2;0.75506;0.80464;0.10394;0.12749;1.55970;Agent17PS2@54;Agent17XNoStop@55;0.7550577364334331;0.8046416066167466;0.7550577364334331;0.8046416066167466;0.8207543703317902;0.7795374088061999;0.0;0.0;0.7550577364334331;0.8046416066167466;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17PS@56;Agent17XNoStop@57;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.040;58;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17Mu3@58;Agent17XNoStop@59;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.042;61;;60rounds;No;No;1;0.00000;0.00000;1.03606;1.21584;0.00000;Agent17Mu2@60;Agent17XNoStop@61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml
0.040;59;;60rounds;Yes;No;2;0.77231;0.91213;0.01506;0.02069;1.68444;Agent17Mu@62;Agent17XNoStop@63;0.772307985427408;0.9121320384936836;0.772307985427408;0.9121320384936836;0.8113262282601118;0.8609053289025667;0.0;0.0;0.772307985427408;0.9121320384936836;party1_utility.xml;party2_utility.xml
0.043;61;;60rounds;Yes;No;2;0.72172;0.97620;0.00000;0.07904;1.69792;Agent17X@64;Agent17XNoStop@65;0.7217169207833432;0.9762027298439024;0.7217169207833432;0.9762027298439024;0.7917638333374589;0.9113014862325522;0.0;0.0;0.7217169207833432;0.9762027298439024;party1_utility.xml;party2_utility.xml
0.140;37;;60rounds;Yes;No;2;0.84818;0.85656;0.00000;0.09595;1.70475;BoulwareNegotiationParty@66;Agent17Submit@67;0.848184722273863;0.8565603097412184;0.848184722273863;0.8565603097412184;0.9710094630056687;0.27775326325504573;0.0;0.0;0.848184722273863;0.8565603097412184;party1_utility.xml;party2_utility.xml
0.201;51;;60rounds;Yes;No;2;0.78482;0.92861;0.00000;0.00000;1.71343;AgreeableAgent2018@68;Agent17Submit@69;0.7848202254161079;0.9286081895317074;0.7848202254161079;0.9286081895317074;0.922189480548642;0.24713169204504234;0.0;0.0;0.7848202254161079;0.9286081895317074;party1_utility.xml;party2_utility.xml
0.185;48;;60rounds;Yes;No;2;0.84818;0.85656;0.00000;0.09595;1.70475;Agent17XNoStop@70;Agent17Submit@71;0.848184722273863;0.8565603097412184;0.848184722273863;0.8565603097412184;0.9710094630056687;0.3282249227018369;0.0;0.0;0.848184722273863;0.8565603097412184;party1_utility.xml;party2_utility.xml
0.436;60;;60rounds;Yes;No;2;0.70964;0.73929;0.13931;0.22365;1.44893;Agent17Submit@72;Agent17Submit@73;0.7392901660355353;0.7096370135024563;0.7392901660355353;0.7096370135024563;0.52274179548125;0.45223134060199693;0.0;0.0;0.7392901660355353;0.7096370135024563;party1_utility.xml;party2_utility.xml
0.198;49;;60rounds;Yes;No;2;0.84818;0.85656;0.00000;0.09595;1.70475;Agent17PS3@74;Agent17Submit@75;0.848184722273863;0.8565603097412184;0.848184722273863;0.8565603097412184;0.9710094630056687;0.27799923508788393;0.0;0.0;0.848184722273863;0.8565603097412184;party1_utility.xml;party2_utility.xml
