sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
0.052;54;;60rounds;Yes;No;3;0.65314;0.76862;0.10107;0.19602;2.11345;BoulwareNegotiationParty@24;BoulwareNegotiationParty@25;BoulwareNegotiationParty@26;0.6916954394799557;0.7686150251144039;0.6531440011466636;0.6916954394799557;0.7686150251144039;0.6531440011466636;0.6571544800091416;0.5916134241793749;0.6531440011466636;0.0;0.0;0.0;0.6916954394799557;0.7686150251144039;0.6531440011466636;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.448;56;;60rounds;Yes;No;3;0.51616;0.80098;0.10387;0.41864;1.96488;Agent17@27;BoulwareNegotiationParty@28;BoulwareNegotiationParty@29;0.8009761327081807;0.5161607135777586;0.6477467887051136;0.8009761327081807;0.5161607135777586;0.6477467887051136;0.6930925948982607;0.5048591737717747;0.6477467887051136;0.0;0.0;0.0;0.8009761327081807;0.5161607135777586;0.6477467887051136;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.262;56;;60rounds;Yes;No;3;0.56655;0.87242;0.04212;0.22540;2.15168;BoulwareNegotiationParty@30;Agent17@31;BoulwareNegotiationParty@32;0.5665500617607802;0.8724202209876767;0.7127130127814056;0.5665500617607802;0.8724202209876767;0.7127130127814056;0.49040180803010686;1.0;0.7127130127814056;0.0;0.0;0.0;0.5665500617607802;0.8724202209876767;0.7127130127814056;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.610;56;;60rounds;Yes;No;3;0.62363;0.95973;0.00000;0.12458;2.29257;Agent17@33;Agent17@34;BoulwareNegotiationParty@35;0.7092076627033178;0.9597253733059082;0.6236327494661357;0.7092076627033178;0.9597253733059082;0.6236327494661357;0.6721846701065152;0.9532524531055847;0.6236327494661357;0.0;0.0;0.0;0.7092076627033178;0.9597253733059082;0.6236327494661357;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.293;57;;60rounds;Yes;No;3;0.51098;0.77903;0.17351;0.45721;1.89911;BoulwareNegotiationParty@36;BoulwareNegotiationParty@37;Agent17@38;0.60910780148095;0.5109779448422133;0.7790288339118432;0.60910780148095;0.5109779448422133;0.7790288339118432;0.415852068634175;0.45644272206546355;0.7790288339118432;0.0;0.0;0.0;0.60910780148095;0.5109779448422133;0.7790288339118432;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.686;56;;60rounds;Yes;No;3;0.44392;0.95889;0.03450;0.58997;1.95316;Agent17@39;BoulwareNegotiationParty@40;Agent17@41;0.5503534331001401;0.44392313261478017;0.9588854050078842;0.5503534331001401;0.44392313261478017;0.9588854050078842;0.4693241332029695;0.48687493963813494;0.9588854050078842;0.0;0.0;0.0;0.5503534331001401;0.44392313261478017;0.9588854050078842;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.641;56;;60rounds;Yes;No;3;0.44392;0.95889;0.03450;0.58997;1.95316;BoulwareNegotiationParty@42;Agent17@43;Agent17@44;0.5503534331001401;0.44392313261478017;0.9588854050078842;0.5503534331001401;0.44392313261478017;0.9588854050078842;0.4693241332029695;0.48687493963813494;0.9588854050078842;0.0;0.0;0.0;0.5503534331001401;0.44392313261478017;0.9588854050078842;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.801;56;;60rounds;Yes;No;3;0.59294;0.94096;0.00000;0.42642;2.15401;Agent17@45;Agent17@46;Agent17@47;0.5929399632637677;0.6201186132009006;0.9409561045500193;0.5929399632637677;0.6201186132009006;0.9409561045500193;0.5956073021373801;0.35468827668448644;0.9409561045500193;0.0;0.0;0.0;0.5929399632637677;0.6201186132009006;0.9409561045500193;party1_utility.xml;party2_utility.xml;party3_utility.xml
