sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.048;53;;60rounds;Yes;No;2;0.68026;0.69921;0.18237;0.26267;1.37947;BoulwareNegotiationParty@2;BoulwareNegotiationParty@3;0.6802620049541599;0.6992074169438632;0.6802620049541599;0.6992074169438632;0.7027686959400736;0.6300103159815537;0.0;0.0;0.6802620049541599;0.6992074169438632;party2_utility.xml;party1_utility.xml
0.017;20;;60rounds;Yes;No;2;0.68499;0.88151;0.00000;0.26212;1.56651;ConcederNegotiationParty@4;BoulwareNegotiationParty@5;0.6849938461633399;0.8815139775362884;0.6849938461633399;0.8815139775362884;0.462336446658242;1.0;0.0;0.0;0.6849938461633399;0.8815139775362884;party2_utility.xml;party1_utility.xml
0.071;49;;60rounds;Yes;No;2;0.78594;0.81518;0.07794;0.14587;1.60112;Agent17@6;BoulwareNegotiationParty@7;0.7859406078376895;0.8151762558710101;0.7859406078376895;0.8151762558710101;0.7254432166585743;0.7561048026439658;0.0;0.0;0.7859406078376895;0.8151762558710101;party2_utility.xml;party1_utility.xml
0.016;18;;60rounds;Yes;No;2;0.56655;0.87242;0.15736;0.22535;1.43897;BoulwareNegotiationParty@8;ConcederNegotiationParty@9;0.8724202209876767;0.5665500617607802;0.8724202209876767;0.5665500617607802;1.0;0.49040180803010686;0.0;0.0;0.8724202209876767;0.5665500617607802;party2_utility.xml;party1_utility.xml
0.007;9;;60rounds;Yes;No;2;0.68371;0.80228;0.14374;0.16179;1.48598;ConcederNegotiationParty@10;ConcederNegotiationParty@11;0.8022781032795586;0.6837055385431724;0.8022781032795586;0.6837055385431724;0.6982437337299067;0.686624077109592;0.0;0.0;0.8022781032795586;0.6837055385431724;party2_utility.xml;party1_utility.xml
0.035;19;;60rounds;Yes;No;2;0.17905;0.63579;0.37651;0.76422;0.81484;Agent17@12;ConcederNegotiationParty@13;0.1790549061375873;0.6357859055915719;0.1790549061375873;0.6357859055915719;0.014036612451544408;0.48524413640269815;0.0;0.0;0.1790549061375873;0.6357859055915719;party2_utility.xml;party1_utility.xml
0.082;53;;60rounds;Yes;No;2;0.69170;0.76862;0.16461;0.18510;1.46031;BoulwareNegotiationParty@14;Agent17@15;0.7686150251144039;0.6916954394799557;0.7686150251144039;0.6916954394799557;0.5916134241793749;0.6571544800091416;0.0;0.0;0.7686150251144039;0.6916954394799557;party2_utility.xml;party1_utility.xml
0.028;24;;60rounds;Yes;No;2;0.31331;0.43033;0.62267;0.68598;0.74364;ConcederNegotiationParty@16;Agent17@17;0.43032550142189396;0.31331001235215605;0.43032550142189396;0.31331001235215605;0.4099671705049024;0.022009616263164077;0.0;0.0;0.43032550142189396;0.31331001235215605;party2_utility.xml;party1_utility.xml
0.069;56;;60rounds;Yes;No;2;0.58916;0.71877;0.18887;0.34581;1.30793;Agent17@18;Agent17@19;0.5891592125026086;0.7187694333381234;0.5891592125026086;0.7187694333381234;0.5087084047937379;0.6111352358018225;0.0;0.0;0.5891592125026086;0.7187694333381234;party2_utility.xml;party1_utility.xml
