sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Agent 5;Agent 6;Utility 1;Utility 2;Utility 3;Utility 4;Utility 5;Utility 6;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Disc. Util. 5;Disc. Util. 6;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;Perceived. Util. 5;Perceived. Util. 6;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Bother 5;User Bother 6;User Util. 1;User Util. 2;User Util. 3;User Util. 4;User Util. 5;User Util. 6;Profile 1;Profile 2;Profile 3;Profile 4;Profile 5;Profile 6
;2;Session genius.core.session.Session@5faafd77 failed: Failed to execute protocol: Execution failed of Agent17@87:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@69e5fd2 failed: Failed to execute protocol: Execution failed of Agent17@90:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@244dda94 failed: Failed to execute protocol: Execution failed of Agent17@98:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@1f0e33c8 failed: Failed to execute protocol: Execution failed of Agent17@102:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@422208d4 failed: Failed to execute protocol: Execution failed of Agent17@110:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@6b500bc4 failed: Failed to execute protocol: Execution failed of Agent17@114:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@737a5a81 failed: Failed to execute protocol: Execution failed of Agent17@124:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@1d74a6df failed: Failed to execute protocol: Execution failed of Agent17@126:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@53a918c7 failed: Failed to execute protocol: Execution failed of Agent17@136:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@441d527f failed: Failed to execute protocol: Execution failed of Agent17@138:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@85b6bbd failed: Failed to execute protocol: Execution failed of Agent17@146:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@1f1a95b3 failed: Failed to execute protocol: Execution failed of Agent17@150:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@23d3764a failed: Failed to execute protocol: Execution failed of Agent17@158:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@50178d1d failed: Failed to execute protocol: Execution failed of Agent17@162:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;Agent17;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@2480f234 failed: Failed to execute protocol: Execution failed of Agent17@171:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@2080fc7b failed: Failed to execute protocol: Execution failed of Agent17@174:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@3ec4f549 failed: Failed to execute protocol: Execution failed of Agent17@183:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@3e6883e4 failed: Failed to execute protocol: Execution failed of Agent17@186:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;Agent17;BoulwareNegotiationParty;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@3b5842aa failed: Failed to execute protocol: Execution failed of Agent17@194:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;BoulwareNegotiationParty;BoulwareNegotiationParty;Agent17;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
;2;Session genius.core.session.Session@d046f55 failed: Failed to execute protocol: Execution failed of Agent17@198:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;Agent17;Agent17;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;party1_utility;party2_utility;party3_utility;party4_utility;party5_utility;party6_utility
