sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Agent 4;Utility 1;Utility 2;Utility 3;Utility 4;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Disc. Util. 4;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;Perceived. Util. 4;User Bother 1;User Bother 2;User Bother 3;User Bother 4;User Util. 1;User Util. 2;User Util. 3;User Util. 4;Profile 1;Profile 2;Profile 3;Profile 4
0.165;58;;60rounds;Yes;No;4;0.61103;0.81014;0.07340;0.19408;2.81802;BoulwareNegotiationParty@0;BoulwareNegotiationParty@1;BoulwareNegotiationParty@2;BoulwareNegotiationParty@3;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8174118151817072;0.4810911596679598;0.4545610611445179;0.4041885995632527;0.0;0.0;0.0;0.0;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.155;58;;60rounds;Yes;No;4;0.61103;0.81014;0.07340;0.19408;2.81802;Agent17@4;BoulwareNegotiationParty@5;BoulwareNegotiationParty@6;BoulwareNegotiationParty@7;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;0.8174118151817072;0.4810911596679598;0.4545610611445179;0.4041885995632527;0.0;0.0;0.0;0.0;0.8101420135954405;0.682631349312207;0.6110347144993911;0.7142118928767266;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.128;54;;60rounds;Yes;No;4;0.59658;0.76020;0.04868;0.34368;2.68719;ConcederNegotiationParty@8;BoulwareNegotiationParty@9;BoulwareNegotiationParty@10;BoulwareNegotiationParty@11;0.5965797142801617;0.604298673352907;0.7602023981890625;0.7261130349686655;0.5965797142801617;0.604298673352907;0.7602023981890625;0.7261130349686655;0.467595501992725;0.6582446991957401;0.7593680066544755;0.5915052113420982;0.0;0.0;0.0;0.0;0.5965797142801617;0.604298673352907;0.7602023981890625;0.7261130349686655;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.152;56;;60rounds;Yes;No;4;0.61370;0.78345;0.09941;0.24770;2.75559;BoulwareNegotiationParty@12;Agent17@13;BoulwareNegotiationParty@14;BoulwareNegotiationParty@15;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;0.747252830424138;0.36926630975024277;0.5639875229304756;0.504859924032782;0.0;0.0;0.0;0.0;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.162;56;;60rounds;Yes;No;4;0.61370;0.78345;0.09941;0.24770;2.75559;Agent17@16;Agent17@17;BoulwareNegotiationParty@18;BoulwareNegotiationParty@19;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;0.747252830424138;0.36926630975024277;0.5639875229304756;0.504859924032782;0.0;0.0;0.0;0.0;0.7834532515800496;0.6136996475592736;0.6557509076762599;0.7026862299586899;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.150;54;;60rounds;Yes;No;4;0.59658;0.76020;0.04868;0.34368;2.68719;ConcederNegotiationParty@20;Agent17@21;BoulwareNegotiationParty@22;BoulwareNegotiationParty@23;0.5965797142801617;0.604298673352907;0.7602023981890625;0.7261130349686655;0.5965797142801617;0.604298673352907;0.7602023981890625;0.7261130349686655;0.467595501992725;0.6582446991957401;0.7593680066544755;0.5915052113420982;0.0;0.0;0.0;0.0;0.5965797142801617;0.604298673352907;0.7602023981890625;0.7261130349686655;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.095;50;;60rounds;Yes;No;4;0.46474;0.96470;0.00000;0.44449;2.93941;BoulwareNegotiationParty@24;ConcederNegotiationParty@25;BoulwareNegotiationParty@26;BoulwareNegotiationParty@27;0.7213579926952491;0.4647408155873612;0.7886110625842724;0.9646955534363922;0.7213579926952491;0.4647408155873612;0.7886110625842724;0.9646955534363922;0.7374369107717986;0.3140439700937422;0.7287066698483626;0.7922847457149255;0.0;0.0;0.0;0.0;0.7213579926952491;0.4647408155873612;0.7886110625842724;0.9646955534363922;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.110;51;;60rounds;Yes;No;4;0.35553;0.84819;0.00000;0.49559;2.82556;Agent17@28;ConcederNegotiationParty@29;BoulwareNegotiationParty@30;BoulwareNegotiationParty@31;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;0.6779316900182678;0.20533362843803593;0.7919546114950118;0.6982698454377207;0.0;0.0;0.0;0.0;0.8481903574950631;0.35552833518342924;0.7885386316190809;0.8333051145432183;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.078;43;;60rounds;Yes;No;4;0.39638;0.95796;0.00000;0.57525;2.88475;ConcederNegotiationParty@32;ConcederNegotiationParty@33;BoulwareNegotiationParty@34;BoulwareNegotiationParty@35;0.6137354961042047;0.39638078228247936;0.9579557861297675;0.916673418162162;0.6137354961042047;0.39638078228247936;0.9579557861297675;0.916673418162162;0.56027722653906;0.26717350519217214;1.0;0.8792475493734132;0.0;0.0;0.0;0.0;0.6137354961042047;0.39638078228247936;0.9579557861297675;0.916673418162162;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
0.112;59;;60rounds;Yes;No;4;0.49728;0.92849;0.00000;0.38763;2.97729;BoulwareNegotiationParty@36;BoulwareNegotiationParty@37;Agent17@38;BoulwareNegotiationParty@39;0.7755453843685962;0.49728159026120633;0.7759695212636083;0.9284903947615353;0.7755453843685962;0.49728159026120633;0.7759695212636083;0.9284903947615353;0.7651447787077449;0.36078506271438326;0.705599323252213;0.7809424625181497;0.0;0.0;0.0;0.0;0.7755453843685962;0.49728159026120633;0.7759695212636083;0.9284903947615353;party1_utility.xml;party2_utility.xml;party3_utility.xml;party4_utility.xml
