sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Perceived. Util. 1;Perceived. Util. 2;Perceived. Util. 3;User Bother 1;User Bother 2;User Bother 3;User Util. 1;User Util. 2;User Util. 3;Profile 1;Profile 2;Profile 3
0.418;56;;60rounds;Yes;No;3;0.47490;0.91643;0.07033;0.50861;2.06024;ConcederNegotiationParty@183;BoulwareNegotiationParty@184;Agent17@185;0.6689040285910031;0.4749028192987024;0.916433436501002;0.6689040285910031;0.4749028192987024;0.916433436501002;0.5713064859435302;0.501616832033968;0.3501127693241814;0.0;0.0;0.0;0.6689040285910031;0.4749028192987024;0.916433436501002;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.491;59;;60rounds;Yes;No;3;0.44751;0.86420;0.08947;0.52501;1.94558;Agent33@186;BoulwareNegotiationParty@187;Agent17@188;0.6338724579978455;0.44751268916096526;0.8641990424260583;0.6338724579978455;0.44751268916096526;0.8641990424260583;0.5656123574253058;0.5503034145021668;0.41235662140030294;0.0;0.0;0.0;0.6338724579978455;0.44751268916096526;0.8641990424260583;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.463;59;;60rounds;Yes;No;3;0.36187;0.85920;0.04238;0.58545;1.96585;Agent17@189;BoulwareNegotiationParty@190;Agent33@191;0.7447807654374581;0.36187005658059584;0.8591983988337382;0.7447807654374581;0.36187005658059584;0.8591983988337382;0.4855468378790507;0.36703467604042644;0.7339095008397344;0.0;0.0;0.0;0.7447807654374581;0.36187005658059584;0.8591983988337382;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.527;55;;60rounds;Yes;No;3;0.38834;0.92207;0.03449;0.59891;1.93672;BoulwareNegotiationParty@192;Agent33@193;Agent17@194;0.6263063033614111;0.3883423493100095;0.9220738831797511;0.6263063033614111;0.3883423493100095;0.9220738831797511;0.6048260223003112;0.3149463313461614;0.29069944515073143;0.0;0.0;0.0;0.6263063033614111;0.3883423493100095;0.9220738831797511;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.466;52;;60rounds;Yes;No;3;0.58409;0.89895;0.00000;0.39458;2.20280;ConcederNegotiationParty@195;Agent33@196;Agent17@197;0.7197562854600582;0.5840926009264753;0.8989536953886467;0.7197562854600582;0.5840926009264753;0.8989536953886467;0.7529993369522512;0.41497848120377423;0.31325160483166015;0.0;0.0;0.0;0.7197562854600582;0.5840926009264753;0.8989536953886467;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.512;61;;60rounds;Yes;No;3;0.70455;0.77063;0.07480;0.23407;2.21746;Agent33@198;ConcederNegotiationParty@199;Agent17@200;0.7422843042197428;0.7045469753712832;0.7706318252073961;0.7422843042197428;0.7045469753712832;0.7706318252073961;0.6896116020175349;0.6551228802218567;0.6419261297007754;0.0;0.0;0.0;0.7422843042197428;0.7045469753712832;0.7706318252073961;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.453;53;;60rounds;Yes;No;3;0.56678;0.91161;0.00000;0.39165;2.11634;Agent17@201;ConcederNegotiationParty@202;Agent33@203;0.9116110231648449;0.5667787110524711;0.6379537570064487;0.9116110231648449;0.5667787110524711;0.6379537570064487;0.2615638616236223;0.49889895183520444;0.28954249496238366;0.0;0.0;0.0;0.9116110231648449;0.5667787110524711;0.6379537570064487;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.423;52;;60rounds;Yes;No;3;0.64245;0.79305;0.08625;0.19660;2.15100;BoulwareNegotiationParty@204;Agent17@205;Agent33@206;0.6424499858955263;0.7930457470996093;0.7155035026492785;0.6424499858955263;0.7930457470996093;0.7155035026492785;0.683769087693014;0.3440531868306695;0.6364051742247632;0.0;0.0;0.0;0.6424499858955263;0.7930457470996093;0.7155035026492785;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.388;41;;60rounds;Yes;No;3;0.69271;0.85656;0.00000;0.09921;2.39745;ConcederNegotiationParty@207;Agent17@208;Agent33@209;0.848184722273863;0.8565603097412184;0.6927057083871474;0.848184722273863;0.8565603097412184;0.6927057083871474;0.9710094630056687;0.29951788838273563;0.5672746348570326;0.0;0.0;0.0;0.848184722273863;0.8565603097412184;0.6927057083871474;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.391;46;;60rounds;Yes;No;3;0.73728;0.83360;0.00000;0.15902;2.40126;Agent33@210;Agent17@211;ConcederNegotiationParty@212;0.7372764148342504;0.8303823776342875;0.8336000145587017;0.7372764148342504;0.8303823776342875;0.8336000145587017;0.8343655519519326;0.3231709989140286;0.5136310954432269;0.0;0.0;0.0;0.7372764148342504;0.8303823776342875;0.8336000145587017;party1_utility.xml;party2_utility.xml;party3_utility.xml
0.332;40;;60rounds;Yes;No;3;0.60009;0.92912;0.00000;0.33531;2.17902;Agent17@213;Agent33@214;ConcederNegotiationParty@215;0.9291224643838102;0.6498158034511143;0.6000856873636454;0.9291224643838102;0.6498158034511143;0.6000856873636454;0.21288180311098728;0.5080970806420477;0.5146292927773295;0.0;0.0;0.0;0.9291224643838102;0.6498158034511143;0.6000856873636454;party1_utility.xml;party2_utility.xml;party3_utility.xml
