sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0.038;50;;60rounds;Yes;No;2;0.69834;0.80644;0.10974;0.17814;1.50478;BoulwareNegotiationParty@46;BoulwareNegotiationParty@47;0.6983401823189728;0.8064397026952232;0.6983401823189728;0.8064397026952232;0.6983401823189728;0.8064397026952232;0.0;0.0;0.6983401823189728;0.8064397026952232;party3_utility.xml;party5_utility.xml
;2;Session genius.core.session.Session@38f113c5 failed: Failed to execute protocol: Execution failed of Agent17@48:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, negotiator.parties.BoulwareNegotiationParty];60rounds;No;;0;;;;;;Agent17;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;;;;;;;party3_utility;party5_utility
;2;Session genius.core.session.Session@1b6bf482 failed: Failed to execute protocol: Execution failed of Agent17@51:java.lang.NullPointerException: null:[negotiator.parties.BoulwareNegotiationParty, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class];60rounds;No;;0;;;;;;BoulwareNegotiationParty;Agent17;0.0;0.0;0.0;0.0;;;;;;;party3_utility;party5_utility
;2;Session genius.core.session.Session@5baebb4b failed: Failed to execute protocol: Execution failed of Agent17@52:java.lang.NullPointerException: null:[/Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class, /Users/hewenyu/Desktop/Intelligent Agent/Labs/Group17/out/production/Group17/group17/Agent17.class];60rounds;No;;0;;;;;;Agent17;Agent17;0.0;0.0;0.0;0.0;;;;;;;party3_utility;party5_utility
